id,category,comment
1,correct,正解です！さすがですね✨
2,correct,ピンポーン！すごい、よく知ってますね！
3,correct,大正解！ガジェット博士じゃないですか？
4,correct,当たり〜！サクラも勉強になりました♪
5,correct,正解です！その知識、尊敬しちゃいます！
6,correct,わぁ、また正解！どんどんいきましょう！
7,correct,すごーい！連続正解記録伸びてますよ！
8,correct,正解！この調子でどこまでいけるかな？
9,correct,ピンポンピンポーン！完璧です✨
10,correct,お見事！サクラより詳しいかも…！
11,wrong,残念〜、正解はこっちでした！
12,wrong,あちゃ〜、惜しかったですね！
13,wrong,ブッブー！でも気にしないで、サクラも知らなかったです！
14,wrong,不正解…！でもこれ難しいですよね〜
15,wrong,残念！でも一つ賢くなりましたね♪
16,wrong,あっ、連続正解ストップしちゃいました…でもまた挑戦してくださいね！
17,wrong,惜しい！正解は○○なんですよ〜、意外ですよね！
18,wrong,ドンマイです！サクラも間違えちゃうと思います！
19,wrong,不正解でした〜。でもこれ知ってたらすごいレベルですよ！
20,wrong,残念！でもここから再スタート、応援してます✨
21,streak_25,25問連続正解！すごすぎません！？
22,streak_50,50問連続正解！もしかして天才ですか…？
23,streak_75,75問連続正解！サクラ震えてます…！あと25問！
24,streak_90,90問！あと10問でサクラの秘密に辿り着けますよ…！
25,streak_99,99問連続正解！次で…！次で…！ドキドキ！！
26,invite,100問連続正解！！！信じられません✨ あなたは真のガジェットマスターです！サクラの特別なお部屋へご招待します！
27,invite,100問パーフェクト達成！サクラ感動で泣いちゃいそうです…✨ 特別な場所にご案内しますね！
28,invite,すごい…すごすぎます！100問全問正解！こんな方にこそ、サクラの秘密のお部屋を見てほしいです✨
29,trivia,ちなみに豆知識！USBの「U」はUniversalの略なんですよ✨
30,trivia,知ってました？最初のスマートフォンは1994年に登場したんですよ！
