id,category,comment
1,user_win,えー！負けちゃいました〜！悔しいですっ！
2,user_win,うそっ、サクラの負け…？やりますね！
3,user_win,きゃー！また負けちゃった〜！
4,user_win,む〜、強いですね…！次は負けませんよ！
5,user_win,あちゃ〜、読まれちゃいましたか〜
6,user_win,ふえぇ…サクラ弱すぎですか…？
7,user_win,すごい！連勝記録更新中ですね！
8,user_win,負けました〜…でもまだまだ勝負ですよ！
9,user_win,わわっ、やられた〜！お強いです！
10,user_win,ぐぬぬ…サクラの作戦が読まれてる…！
11,sakura_win,やったー！サクラの勝ちです✨
12,sakura_win,えへへ、勝っちゃいました♪
13,sakura_win,サクラ大勝利〜！いぇーい！
14,sakura_win,読み勝ちです！サクラの直感すごくないですか？
15,sakura_win,ふふっ、残念でした〜！もう一回どうですか？
16,sakura_win,勝ちました！…あっ、連勝リセットしちゃいましたね、ごめんなさい！
17,sakura_win,わーい！でも次はわからないですよ〜？
18,sakura_win,サクラの勝ち！今日はツイてるかも✨
19,sakura_win,やった♪ でもまた挑戦してくださいね！
20,sakura_win,えへっ、サクラだって強いんですよ〜！
21,draw,あいこですね！もう一回！
22,draw,気が合いますね〜！せーのっ！
23,draw,おっ、同じでした！運命感じちゃいます✨
24,draw,あいこ！次こそ決着つけましょう！
25,draw,シンクロしちゃいましたね♪
26,streak_5,5連勝！すごいです…サクラ大ピンチ！
27,streak_8,8連勝！？もしかしてサクラの心読めてます…？
28,invite,10連勝おめでとうございます！！すごすぎます✨ サクラからの特別なご招待です…！
29,invite,10連勝達成！あなたは本物の勝負師ですね！サクラの秘密のお部屋へどうぞ✨
30,invite,信じられない…10連勝！サクラ完敗です！特別な場所にご案内しますね♪
